source_id,source_label,source_name,source_lane,target_id,target_label,target_name,target_lane,edge_type,score
node_21,parallelGateway,parallelGateway_21,lane_2,node_7,task,task_7,lane_3,sequenceFlow,1.0
node_7,task,task_7,lane_3,node_20,parallelGateway,parallelGateway_20,lane_2,sequenceFlow,1.0
node_5,task,task_5,,node_15,exclusiveGateway,exclusiveGateway_15,,sequenceFlow,1.0
node_1,subProcess,subProcess_1,lane_2,node_20,parallelGateway,parallelGateway_20,lane_2,sequenceFlow,0.999
node_22,parallelGateway,parallelGateway_22,lane_0,node_17,exclusiveGateway,exclusiveGateway_17,lane_2,sequenceFlow,0.999
node_9,task,task_9,lane_2,node_21,parallelGateway,parallelGateway_21,lane_2,sequenceFlow,0.998
node_3,task,task_3,lane_0,node_14,messageEvent,messageEvent_14,,sequenceFlow,0.998
node_6,task,task_6,,node_10,task,task_10,,sequenceFlow,0.997
node_20,parallelGateway,parallelGateway_20,lane_2,node_12,task,task_12,lane_0,sequenceFlow,0.997
node_21,parallelGateway,parallelGateway_21,lane_2,node_1,subProcess,subProcess_1,lane_2,sequenceFlow,0.997
node_17,exclusiveGateway,exclusiveGateway_17,lane_2,node_8,task,task_8,lane_2,sequenceFlow,0.997
node_18,parallelGateway,parallelGateway_18,,node_0,subProcess,subProcess_0,lane_0,sequenceFlow,0.993
node_20,parallelGateway,parallelGateway_20,lane_2,node_3,task,task_3,lane_0,sequenceFlow,0.991
node_15,exclusiveGateway,exclusiveGateway_15,,node_4,task,task_4,,sequenceFlow,0.986
node_16,exclusiveGateway,exclusiveGateway_16,,node_13,messageEvent,messageEvent_13,,sequenceFlow,0.951
node_21,parallelGateway,parallelGateway_21,lane_2,node_12,task,task_12,lane_0,sequenceFlow,0.942
node_22,parallelGateway,parallelGateway_22,lane_0,node_11,task,task_11,lane_3,sequenceFlow,0.926