source_id,source_label,source_lane,target_id,target_label,target_lane,edge_type,score
node_6,exclusiveGateway,lane_5,node_13,task,lane_5,sequenceFlow,0.999
node_19,task,lane_3,node_7,exclusiveGateway,lane_3,sequenceFlow,0.999
node_21,task,lane_3,node_12,timerEvent,lane_3,sequenceFlow,0.998
node_4,messageEvent,lane_5,node_17,task,lane_5,sequenceFlow,0.998
node_5,parallelGateway,lane_5,node_0,event,lane_5,sequenceFlow,0.998
node_17,task,lane_5,node_6,exclusiveGateway,lane_5,sequenceFlow,0.998
node_16,task,lane_6,node_3,messageEvent,lane_6,sequenceFlow,0.998
node_9,task,lane_5,node_5,parallelGateway,lane_5,sequenceFlow,0.998
node_14,task,,node_22,task,lane_4,sequenceFlow,0.997
node_22,task,lane_4,node_16,task,lane_6,sequenceFlow,0.997
node_8,messageEvent,,node_14,task,,sequenceFlow,0.997
node_15,task,lane_3,node_23,subProcess,lane_3,sequenceFlow,0.997
node_1,event,lane_3,node_19,task,lane_3,sequenceFlow,0.997
node_3,messageEvent,lane_6,node_11,task,lane_6,sequenceFlow,0.997
node_2,parallelGateway,lane_2,node_20,task,lane_2,sequenceFlow,0.993
node_10,task,lane_3,node_15,task,lane_3,sequenceFlow,0.992
node_19,task,lane_3,node_8,messageEvent,,messageFlow,0.991
node_12,timerEvent,lane_3,node_2,parallelGateway,lane_2,sequenceFlow,0.98
node_2,parallelGateway,lane_2,node_9,task,lane_5,sequenceFlow,0.972
node_5,parallelGateway,lane_5,node_11,task,lane_6,sequenceFlow,0.961
node_18,task,lane_3,node_15,task,lane_3,sequenceFlow,0.948
node_13,task,lane_5,node_0,event,lane_5,sequenceFlow,0.937
node_20,task,lane_2,node_5,parallelGateway,lane_5,sequenceFlow,0.865
node_7,exclusiveGateway,lane_3,node_18,task,lane_3,sequenceFlow,0.796
node_16,task,lane_6,node_4,messageEvent,lane_5,dataAssociation,0.709
node_5,parallelGateway,lane_5,node_9,task,lane_5,sequenceFlow,0.697
node_16,task,lane_6,node_4,messageEvent,lane_5,messageFlow,0.656